   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499556       0.0177838    3.25304e-05      0.0325304         5103.77      0.0246395        24.6395        -99.9382    0.000803721       0.803721
    init         0.49954       0.0197135    0.000159869       0.159869         5104.08      0.0426345        42.6345        -99.9334    0.000974141       0.974141
    init        0.499986         99.0085    0.000928511       0.928511          5003.2     0.00813544        8.13543     0.000164528    0.000131669       0.131669
       1        0.499959         99.0446    0.000820075       0.820075         5003.07      0.0022626         2.2626     0.000118196    0.000129058       0.129058
       2        0.500036         99.0205      0.0008362         0.8362          5003.1     0.00227851         2.2785    -0.000305646    0.000130164       0.130163
       3        0.500005         99.0353    0.000813378       0.813378         5003.07     0.00223859        2.23859    -0.000757139    0.000129147       0.129147
       4        0.499971         99.0295    0.000824239       0.824238         5003.08     0.00226289        2.26288     -2.7838e-05    0.000129206       0.129206
       5        0.499963          99.053    0.000799643       0.799643         5003.03     0.00222839        2.22839     0.000295848    0.000127859       0.127859
       6        0.500084         99.0319    0.000816289       0.816289         5003.08     0.00225582        2.25582    -0.000612002    0.000129568       0.129568
       7        0.499989         99.0226    0.000827248       0.827247          5003.1     0.00225979        2.25979    -0.000478278    0.000129655       0.129655
       8        0.499937         99.0624    0.000801851        0.80185         5003.03     0.00222759        2.22758     0.000268346    0.000127716       0.127716
   total        0.499596         99.0375     0.00057807       0.817515         5003.07     0.00159264        2.25233      -0.0002494    9.12917e-05       0.129106
