   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505508         14.1718     0.00640448        1.63954        -2776.61        2.88928        739.649        -1.04025      0.0471531        12.0711
    init        0.506027          14.633     0.00779648        1.99588         -2808.6        2.45201        627.709       -0.797396      0.0374232        9.58028
    init        0.505844         14.5546      0.0073645         1.8853        -2771.41        3.23651         828.54       -0.275919      0.0380728        9.74655
    init        0.505768         14.5567     0.00706305        1.80813         -2825.6        2.16833        555.088        0.396617      0.0424338         10.863
    init        0.504974         14.2563     0.00481552        1.23276        -2794.06        2.71428        694.851        -1.09874      0.0404288        10.3497
    init         0.50621         14.7439     0.00826627        2.11615        -2789.98         2.7995        716.666         2.25694      0.0430235        11.0139
    init        0.504562         14.6007      0.0077348        1.98009        -2797.48        2.75715        705.826        0.817145      0.0346042         8.8586
    init        0.505035         14.4469     0.00749033        1.91751        -2806.08        2.58178        660.931        0.874761      0.0422506        10.8161
    init        0.505356         13.8983     0.00910687        2.33134        -2757.58        3.13416        802.338        0.641423      0.0398954        10.2131
    init        0.504883         14.0162     0.00955608        2.44634        -2774.52        3.19981        819.146         0.97514      0.0365562        9.35832
    init        0.505524         13.8998      0.0101176        2.59009         -2803.9        2.65827        680.512       -0.392479      0.0382653        9.79585
    init        0.505539         14.3297     0.00437966        1.12119        -2823.17        2.32334        594.771         2.40819      0.0497819        12.7441
    init          0.5056         14.4434     0.00385405        0.98663        -2809.41        2.56568        656.809        -0.57333      0.0371916        9.52097
    init        0.506546         13.8981     0.00996393        2.55075        -2770.64        2.87722        736.562       0.0800084      0.0417475        10.6873
       1        0.498901         14.3572     0.00336435       0.861266         -2911.5      0.0320038        8.19292        0.315436      0.0364095        9.32076
       2        0.499405         14.3511     0.00329177       0.842687        -2912.34      0.0314159        8.04241       -0.620606      0.0368246        9.42702
       3        0.500473         14.2732     0.00317867       0.813734        -2911.53       0.031518        8.06854       0.0973146      0.0364892        9.34117
       4        0.500656         14.3074     0.00349583       0.894927        -2911.63      0.0333767        8.54438       -0.392804      0.0358513        9.17786
       5        0.500137         14.3048     0.00325321       0.832817        -2912.39      0.0310562        7.95032        0.946563      0.0378328        9.68512
       6        0.498993         14.2266     0.00318932       0.816459        -2911.95      0.0345858         8.8539        -2.05684      0.0338527        8.66623
       7        0.500076         14.1954     0.00315131       0.806729        -2912.29       0.033208        8.50117        -0.17151      0.0367172        9.39954
       8        0.500244         14.3772     0.00320544       0.820587        -2911.64       0.032675        8.36473          1.2069      0.0351302        8.99325
   total        0.501213         14.2992     0.00231617       0.838541        -2911.91      0.0230062        8.32909      -0.0837338      0.0256969        9.30323
