   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.48851         21.9382      0.0101512        2.59869        -402.729       0.947094        242.454       -0.700137      0.0336058        8.60302
    init        0.488892         21.7917      0.0110257        2.82256        -406.525       0.624795        159.946        0.746111      0.0381134        9.75695
    init        0.487991         21.9758      0.0122705        3.14121        -409.397       0.593161        151.848       -0.803467      0.0391236        10.0156
    init        0.489182         22.9975      0.0305253        7.81443          -402.8       0.800052        204.812        -0.51178      0.0347455        8.89479
    init         0.48851          21.806     0.00974425        2.49451        -411.942       0.458347        117.336       -0.897914      0.0380827        9.74909
    init        0.488586         21.7677      0.0108856         2.7867        -409.994       0.534547        136.843        0.306764      0.0408912        10.4681
    init        0.488892         22.2099      0.0190074        4.86586        -408.997       0.561891        143.843         1.07513       0.040843        10.4557
    init         0.48909         22.2451      0.0109888        2.81311        -407.919       0.785083         200.98        -1.16934      0.0349962        8.95896
    init        0.488586         22.7308      0.0191273        4.89655         -402.55       0.744549        190.603       -0.748174      0.0399786        10.2345
    init        0.488632         22.1263      0.0101862        2.60766        -412.694       0.505025        129.285        0.208475      0.0378666        9.69379
    init        0.489273         21.8937      0.0117829        3.01639         -413.51       0.380751        97.4716       -0.936172      0.0373889        9.57148
    init        0.488388         21.4284      0.0112378        2.87686        -411.606       0.679992        174.077       -0.550607      0.0365424        9.35478
    init        0.489151         22.2317      0.0124154        3.17832        -413.545       0.407079        104.211       -0.572044      0.0344242        8.81252
    init        0.489426          22.178      0.0125607        3.21552        -415.433       0.384183          98.35       -0.862285      0.0362926        9.29084
    init         0.48967         21.2329      0.0126476        3.23776        -406.251       0.757291        193.865        0.488393      0.0391751        10.0288
    init        0.488693         22.6167      0.0264236         6.7644        -398.159       0.986144        252.451       -0.895883      0.0366417         9.3802
    init        0.488892         21.6465     0.00940314        2.40719        -408.125       0.614126        157.215       -0.427418      0.0353953        9.06113
    init        0.488907         21.7993     0.00952558        2.43853        -411.007       0.563015        144.131         0.22471      0.0366068        9.37127
    init        0.488541         21.5377      0.0122528        3.13669        -408.084       0.590564        151.183       -0.996184      0.0432217        11.0647
    init        0.488907         22.2347      0.0152192        3.89608        -404.792       0.874319        223.824       0.0556425      0.0378397        9.68688
  accept        0.500122         21.8037     0.00853453        2.18482        -425.106       0.028183        7.21478        -1.10599      0.0367244        9.40138
  accept        0.499557         21.5378     0.00898495        2.30013        -425.046      0.0275099        7.04248      0.00042967      0.0367888        9.41785
       1        0.500717         21.5359     0.00848553        2.17228        -425.537      0.0280008        7.16815       -0.491217       0.034331        8.78867
       2        0.498886         21.8098     0.00813179        2.08172        -425.819      0.0276408        7.07598     -0.00116337      0.0384781        9.85033
       3        0.500595         22.1482     0.00860115        2.20188        -424.556      0.0282769        7.23883      -0.0765441      0.0331319        8.48169
       4        0.499878         22.3173     0.00860889        2.20386        -424.801      0.0295644        7.56844        0.591401      0.0345421        8.84271
       5        0.500244          21.525     0.00822251        2.10495        -424.542      0.0284834        7.29169       -0.872774       0.037762        9.66699
       6         0.49913          21.965     0.00833984        2.13498        -425.001      0.0275929        7.06372        -0.13033      0.0363398        9.30292
       7        0.500671         21.6905     0.00762305        1.95148        -424.731      0.0290838        7.44539      -0.0203687      0.0354751        9.08155
       8        0.499786         21.7812     0.00819753        2.09855        -425.364      0.0278129        7.12006        0.246501      0.0343855        8.80261
   total        0.499344         21.8472     0.00590151        2.13657        -425.043      0.0200633        7.26367      -0.0945483      0.0251968        9.12219
