   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.521929         8.42563     0.00725901        7.25901          3530.1       0.627735        627.734         1.48816      0.0829664        82.9664
    init        0.521216         8.45046     0.00733291        7.33291         3514.52       0.628306        628.305         1.56701      0.0826147        82.6147
    init        0.521588         8.09389      0.0071549         7.1549          3520.9       0.625098        625.098         1.15147      0.0836486        83.6486
    init        0.521618         8.17938     0.00708959        7.08959          3537.8        0.63636         636.36       -0.672617      0.0833418        83.3418
    init        0.521659         8.14373     0.00722945        7.22945         3528.03       0.631702        631.702        -1.84225      0.0825041        82.5041
    init        0.521384         8.28466     0.00722489        7.22489         3530.29       0.630621         630.62         0.83636      0.0840971         84.097
    init        0.521655         8.48453     0.00731094        7.31094         3515.49       0.628926        628.925       -0.939157      0.0833787        83.3787
    init        0.521479         8.74614     0.00756812        7.56811         3518.23       0.631649        631.649        0.851644      0.0835553        83.5553
    init        0.521535         8.39417      0.0073202        7.32019          3531.3       0.639657        639.657        0.261814       0.084124         84.124
    init        0.521529         8.07794     0.00711072        7.11072         3522.72       0.627021         627.02      0.00886055      0.0828656        82.8656
  accept        0.500294         8.32188     0.00726107        7.26107         3524.43       0.631434        631.434        0.156376      0.0833112        83.3111
       1        0.499785         8.39338     0.00728995        7.28995         3525.36       0.628821         628.82        -1.30359      0.0832945        83.2945
       2        0.499723         8.34208     0.00731188        7.31188         3526.99       0.631178        631.178      -0.0373942      0.0831782        83.1782
       3        0.500069         8.20652     0.00732369        7.32369         3513.17         0.6315        631.499       -0.166377      0.0835297        83.5297
       4        0.500256         8.37673     0.00730453        7.30452          3537.8       0.635773        635.772        -1.09638      0.0829747        82.9746
       5        0.500207         8.20103     0.00712182        7.12181         3531.17       0.632906        632.905        -2.72475      0.0840896        84.0896
       6        0.499813          8.1474     0.00718762        7.18762         3529.29       0.627141        627.141        -1.67957      0.0834693        83.4692
       7         0.49984          8.2489      0.0071242         7.1242         3515.19       0.633586        633.586       -0.338146      0.0837499        83.7498
       8        0.500126         8.16654      0.0071981         7.1981         3525.79       0.628468        628.468       -0.144206      0.0831289        83.1289
   total        0.499872          8.2604     0.00511481        7.23343         3525.59       0.446323        631.196       -0.931906      0.0589995        83.4379
