   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499919         9.56377     0.00807923        8.07923         5314.24      0.0778266        77.8266        -96.1201      0.0050298         5.0298
    init        0.499954         9.25622     0.00789812        7.89811         5313.98      0.0972172        97.2171        -96.1623     0.00496493        4.96493
    init        0.499963         9.28783     0.00824564        8.24564         5316.65       0.084019        84.0189        -96.1154     0.00505243        5.05243
    init        0.499862         73.7294      0.0165437        16.5437         5211.57      0.0939621         93.962      -0.0328216     0.00496928        4.96928
    init        0.499976         9.70326     0.00819772        8.19771         5317.64      0.0783484        78.3483         -96.099     0.00506921        5.06921
    init        0.499943         9.35437     0.00798302        7.98301         5315.69      0.0842705        84.2705        -96.1439     0.00511639        5.11638
    init        0.499937         9.69716     0.00830023        8.30023         5315.37      0.0791519        79.1518        -96.1363     0.00502014        5.02014
    init         0.49992         10.4081     0.00845724        8.45723         5320.59      0.0890368        89.0367        -96.1123     0.00530197        5.30196
    init        0.499927         74.3234      0.0165029        16.5029          5209.2      0.0802398        80.2398      -0.0536932     0.00484668        4.84668
    init         0.49994         73.2399       0.017022         17.022         5211.48      0.0798491         79.849      -0.0190921     0.00495966        4.95966
    init        0.499912         9.58399     0.00813772        8.13771         5314.27      0.0834442        83.4442         96.1687     0.00507826        5.07826
    init        0.499995         2.77255     0.00247446        2.47446         5622.42       0.082793        82.7929        -192.644     0.00529112        5.29112
    init        0.499943         9.33283     0.00809008        8.09007         5313.91      0.0788562        78.8561         96.1138     0.00514336        5.14336
    init        0.499889         73.1181      0.0162531        16.2531         5211.24      0.0834697        83.4696       0.0119973     0.00490321        4.90321
       1         0.50003          73.339      0.0160867        16.0867         5210.25       0.075926        75.9259       0.0720743      0.0049035        4.90349
       2        0.500002         75.6074      0.0152231        15.2231         5206.33      0.0754605        75.4605      -0.0385656     0.00479879        4.79879
       3        0.499985         74.2758      0.0160411        16.0411         5210.03      0.0759179        75.9179     -0.00876377     0.00489247        4.89247
       4        0.500028         72.6008      0.0164473        16.4473         5212.98      0.0765722        76.5722      0.00880827     0.00496602        4.96602
       5        0.499936         74.7175      0.0161407        16.1407         5208.03      0.0761879        76.1878      0.00680343     0.00484557        4.84556
       6        0.500054         74.1469      0.0157643        15.7643         5208.84      0.0758731        75.8731     -0.00792407     0.00485695        4.85695
       7        0.499979         74.0746      0.0161485        16.1485         5208.54      0.0757575        75.7574      -0.0448508      0.0048629         4.8629
       8        0.500085         74.5155      0.0152291        15.2291         5207.52      0.0741188        74.1187      -0.0344871     0.00481704        4.81704
   total        0.499771         74.1596       0.011252        15.9128         5209.07      0.0535729        75.7635     -0.00549007      0.0034431        4.86928
