   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499971          99.038    0.000819632       0.819632         5003.08     0.00226698        2.26698    -0.000392288    0.000129736       0.129736
    init        0.499988         99.0148     0.00114975        1.14975          5003.4      0.0247535        24.7535        0.002135    0.000231881       0.231881
    init        0.499989         99.0148    0.000877915       0.877914         5003.37      0.0252059        25.2059     0.000138616    0.000131371       0.131371
       1        0.499994         99.0346    0.000809325       0.809325         5003.07     0.00223495        2.23495     6.81655e-05    0.000129339       0.129339
       2        0.499886         99.0596    0.000802557       0.802556         5003.04     0.00223647        2.23647     0.000299666    0.000127632       0.127632
       3        0.500094         99.0535    0.000799256       0.799256         5003.04     0.00221718        2.21718     2.13621e-05    0.000128042       0.128042
       4        0.499998         99.0478    0.000807531        0.80753         5003.05     0.00223423        2.23423    -0.000122561    0.000128577       0.128577
       5        0.500004         99.0431    0.000807321       0.807321         5003.07     0.00224918        2.24918     0.000757304    0.000128916       0.128916
       6        0.500029         99.0551    0.000795978       0.795977         5003.04     0.00222054        2.22054    -0.000354326     0.00012795        0.12795
       7        0.499957         99.0264    0.000832621        0.83262         5003.11     0.00229616        2.29616    -0.000670337    0.000130879       0.130879
       8        0.500012         99.0413    0.000817699       0.817698         5003.07     0.00225781        2.25781    -0.000334788    0.000129101       0.129101
   total        0.500448         99.0452    0.000572139       0.809126         5003.06     0.00158628        2.24333    -6.62569e-05    9.10681e-05        0.12879
