   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502544         15.2098      0.0118322        11.8322          1026.7       0.249437        249.437       -0.986459      0.0592397        59.2397
    init        0.502515         15.4307      0.0120022        12.0022         1019.09       0.250023        250.023        0.659368      0.0592181        59.2181
    init        0.502623         15.3597      0.0120524        12.0523            1026       0.252081        252.081        0.593046      0.0593906        59.3906
    init        0.502422          15.528      0.0120103        12.0103         1023.52       0.251225        251.225       -0.487058      0.0593279        59.3279
    init        0.502474         15.5857      0.0120968        12.0968         1022.61       0.250879        250.879       -0.914944      0.0592317        59.2317
    init        0.502367          15.324      0.0120213        12.0213         1020.05       0.249838        249.838        0.728734      0.0593824        59.3823
    init        0.502381          15.425      0.0120916        12.0916         1022.92       0.250711        250.711       -0.639876      0.0590778        59.0778
    init        0.502539          15.475      0.0120027        12.0027         1023.93       0.251614        251.614        0.823459      0.0593106        59.3106
    init        0.502606         15.3132      0.0118145        11.8145         1020.67       0.250306        250.306       -0.703359      0.0590192        59.0192
    init        0.502345         15.4776      0.0121484        12.1484         1021.75       0.251656        251.656       -0.380375      0.0587484        58.7484
    init        0.502409            15.7      0.0121767        12.1767         1019.95       0.249992        249.992       -0.241974      0.0592816        59.2815
    init        0.502393         15.7598      0.0121351        12.1351         1022.45       0.252853        252.853        0.469401      0.0582488        58.2488
    init        0.502692         15.3585      0.0119322        11.9322         1019.66       0.249778        249.778        -0.12842       0.058589         58.589
  accept         0.49968         15.3447      0.0120543        12.0543         1021.24       0.248998        248.998        -0.19996      0.0594036        59.4036
  accept        0.500093          15.803      0.0122145        12.2145         1022.37       0.251932        251.932        0.758968      0.0587877        58.7877
  accept        0.500111         15.5259       0.012064         12.064         1022.01       0.249657        249.657       -0.794271      0.0594461        59.4461
  accept        0.500068         15.3106      0.0119747        11.9747         1021.21       0.249135        249.135        0.722062      0.0592062        59.2062
  accept        0.499901         15.3929      0.0119616        11.9616         1021.39       0.248761         248.76        0.545287      0.0590588        59.0588
  accept        0.499759         15.2249       0.011878         11.878          1019.9       0.247559        247.559       -0.394791      0.0590669        59.0669
  accept        0.500113          15.742      0.0121035        12.1035         1019.25       0.251062        251.062       -0.982412      0.0589697        58.9696
  accept        0.500011         15.5701      0.0120153        12.0153         1026.86        0.25057         250.57         0.43162      0.0591508        59.1508
  accept        0.500031         15.5903      0.0121217        12.1217            1022       0.249357        249.357        0.172876      0.0594374        59.4374
       1        0.500017         15.2552      0.0118464        11.8464         1025.89       0.250807        250.807          0.4163      0.0590517        59.0516
       2        0.500093          15.732      0.0120576        12.0576         1019.67       0.249362        249.362        0.438386      0.0587424        58.7424
       3        0.499828         15.4943      0.0119841        11.9841         1021.91        0.24918         249.18         0.54551      0.0593979        59.3979
       4        0.499838         15.5107      0.0120787        12.0787         1020.52       0.249321        249.321        0.110151      0.0590979        59.0979
       5        0.500246         15.3596      0.0118636        11.8636         1023.94       0.251077        251.077        0.267993      0.0592669        59.2668
       6        0.500069         15.5287      0.0119151        11.9151         1024.12       0.250383        250.383       -0.184513       0.059338         59.338
       7        0.499859         15.5994      0.0120814        12.0814         1023.61       0.250987        250.987        0.390652      0.0594381        59.4381
       8        0.500115         15.3896      0.0119997        11.9997         1024.16       0.250106        250.106       0.0339272       0.059495        59.4949
   total         0.49963         15.4853     0.00847214        11.9814            1023       0.176871        250.134        0.249105      0.0418864        59.2363
